2022-04-19 14:58:41.982 | 19192     | INFO  | INIT with 6 workers.
2022-04-19 14:58:41.982 | 19192     | INFO  | WORKER-1 RUN
2022-04-19 14:58:41.983 | 19192     | INFO  | WORKER-2 RUN
2022-04-19 14:58:41.983 | 23172     | INFO  | WORKER-1 START
2022-04-19 14:58:41.984 | 19192     | INFO  | WORKER-3 RUN
2022-04-19 14:58:41.984 | 20236     | INFO  | WORKER-2 START
2022-04-19 14:58:41.984 | 19192     | INFO  | WORKER-4 RUN
2022-04-19 14:58:41.984 | 13328     | INFO  | WORKER-3 START
2022-04-19 14:58:41.984 | 19192     | INFO  | WORKER-5 RUN
2022-04-19 14:58:41.984 | 21100     | INFO  | WORKER-4 START
2022-04-19 14:58:41.984 | 19192     | INFO  | WORKER-6 RUN
2022-04-19 14:58:41.984 | 17692     | INFO  | WORKER-5 START
2022-04-19 14:58:41.984 | 23172     | INFO  |  new_service 16777217
2022-04-19 14:58:41.985 | 14576     | INFO  | WORKER-6 START
2022-04-19 14:58:41.985 | 19192     | INFO  | server::run() state = 2
2022-04-19 14:58:41.994 | :01000001 | INFO  | start server	(main.lua:13)
2022-04-19 14:58:41.995 | 20236     | INFO  |  new_service 33554433
2022-04-19 14:58:41.995 | :01000001 | INFO  | [WORKER 1] new service [bootstrap]
2022-04-19 14:58:42.003 | :02000001 | INFO  | login server start	login1	127.0.0.1	20701	(service_login.lua:189)
2022-04-19 14:58:42.003 | :02000001 | INFO  | startup_check	(service_login.lua:170)
2022-04-19 14:58:42.003 | :02000001 | INFO  | [WORKER 2] new service [login1]
2022-04-19 14:58:43.504 | :02000001 | INFO  | startup_check	(service_login.lua:170)
2022-04-19 14:58:43.504 | :02000001 | INFO  | connect	3	127.0.0.1:20620	(service_login.lua:19)
2022-04-19 14:58:43.505 | :02000001 | INFO  | connect	4	127.0.0.1:20621	(service_login.lua:19)
2022-04-19 14:58:51.148 | :02000001 | INFO  | sys	regist_server	5	player	player1	(G:\ddd\moon_example\server_moon\commands\login\login_commands.lua:95)
2022-04-19 14:58:51.153 | :02000001 | INFO  | sys	regist_server	6	player	player2	(G:\ddd\moon_example\server_moon\commands\login\login_commands.lua:95)
2022-04-19 14:58:51.157 | :02000001 | INFO  | sys	regist_server	7	player	player3	(G:\ddd\moon_example\server_moon\commands\login\login_commands.lua:95)
2022-04-19 15:06:35.994 | :02000001 | INFO  | close 	7	127.0.0.1:2633	(service_login.lua:93)
2022-04-19 15:06:35.994 | :02000001 | INFO  | close 	6	127.0.0.1:2631	(service_login.lua:93)
2022-04-19 15:06:35.994 | :02000001 | INFO  | close 	5	127.0.0.1:2629	(service_login.lua:93)
2022-04-19 15:06:37.879 | :02000001 | INFO  | sys	regist_server	8	player	player1	(G:\ddd\moon_example\server_moon\commands\login\login_commands.lua:95)
2022-04-19 15:06:37.882 | :02000001 | INFO  | sys	regist_server	9	player	player2	(G:\ddd\moon_example\server_moon\commands\login\login_commands.lua:95)
2022-04-19 15:06:37.885 | :02000001 | INFO  | sys	regist_server	10	player	player3	(G:\ddd\moon_example\server_moon\commands\login\login_commands.lua:95)
2022-04-19 15:08:17.650 | :02000001 | INFO  | receive msg cmd = 	login	3	22	(service_login.lua:34)
2022-04-19 15:08:33.906 | :02000001 | INFO  | close 	4	127.0.0.1:20621	(service_login.lua:93)
2022-04-19 15:08:33.906 | :02000001 | INFO  | close 	3	127.0.0.1:20620	(service_login.lua:93)
2022-04-19 15:08:38.402 | 19192     | WARN  | Received signal code 100 (server.cpp:62)
2022-04-19 15:08:38.402 | :02000001 | INFO  | [WORKER 2] destroy service [login1] 
2022-04-19 15:08:38.402 | :01000001 | INFO  | [WORKER 1] destroy service [bootstrap] 
2022-04-19 15:08:38.404 | 14576     | INFO  | WORKER-6 STOP
2022-04-19 15:08:38.404 | 17692     | INFO  | WORKER-5 STOP
2022-04-19 15:08:38.404 | 21100     | INFO  | WORKER-4 STOP
2022-04-19 15:08:38.404 | 13328     | INFO  | WORKER-3 STOP
2022-04-19 15:08:38.404 | 20236     | INFO  | WORKER-2 STOP
2022-04-19 15:08:38.405 | 23172     | INFO  | WORKER-1 STOP
2022-04-19 15:08:38.405 | 19192     | INFO  | STOP
