2022-04-19 15:45:01.281 | 7084      | INFO  | INIT with 6 workers.
2022-04-19 15:45:01.281 | 7084      | INFO  | WORKER-1 RUN
2022-04-19 15:45:01.281 | 7084      | INFO  | WORKER-2 RUN
2022-04-19 15:45:01.282 | 18928     | INFO  | WORKER-1 START
2022-04-19 15:45:01.282 | 7084      | INFO  | WORKER-3 RUN
2022-04-19 15:45:01.282 | 10828     | INFO  | WORKER-2 START
2022-04-19 15:45:01.282 | 7084      | INFO  | WORKER-4 RUN
2022-04-19 15:45:01.282 | 11916     | INFO  | WORKER-3 START
2022-04-19 15:45:01.282 | 7084      | INFO  | WORKER-5 RUN
2022-04-19 15:45:01.282 | 13028     | INFO  | WORKER-4 START
2022-04-19 15:45:01.282 | 7084      | INFO  | WORKER-6 RUN
2022-04-19 15:45:01.282 | 11532     | INFO  | WORKER-5 START
2022-04-19 15:45:01.282 | 18928     | INFO  |  new_service 16777217
2022-04-19 15:45:01.282 | 22376     | INFO  | WORKER-6 START
2022-04-19 15:45:01.282 | 7084      | INFO  | server::run() state = 2
2022-04-19 15:45:01.291 | :01000001 | INFO  | start server	(main.lua:13)
2022-04-19 15:45:01.292 | :01000001 | INFO  | [WORKER 1] new service [bootstrap]
2022-04-19 15:45:01.292 | 10828     | INFO  |  new_service 33554433
2022-04-19 15:45:01.301 | :02000001 | INFO  | login server start	login1	127.0.0.1	20701	(service_login.lua:189)
2022-04-19 15:45:01.301 | :02000001 | INFO  | startup_check	(service_login.lua:170)
2022-04-19 15:45:01.301 | :02000001 | INFO  | [WORKER 2] new service [login1]
2022-04-19 15:45:02.801 | :02000001 | INFO  | startup_check	(service_login.lua:170)
2022-04-19 15:45:02.802 | :02000001 | INFO  | connect	3	127.0.0.1:20620	(service_login.lua:19)
2022-04-19 15:45:02.802 | :02000001 | INFO  | connect	4	127.0.0.1:20621	(service_login.lua:19)
2022-04-19 15:45:10.797 | :02000001 | INFO  | error 	3	{"addr":"127.0.0.1:20620","errcode":10054,"errmsg":"远程主机强迫关闭了一个现有的连接。"}	(service_login.lua:99)
2022-04-19 15:45:10.797 | :02000001 | INFO  | close 	3	127.0.0.1:20620	(service_login.lua:93)
2022-04-19 15:45:10.797 | :02000001 | INFO  | error 	4	{"addr":"127.0.0.1:20621","errcode":10054,"errmsg":"远程主机强迫关闭了一个现有的连接。"}	(service_login.lua:99)
2022-04-19 15:45:10.797 | :02000001 | INFO  | close 	4	127.0.0.1:20621	(service_login.lua:93)
2022-04-19 15:47:39.608 | 7084      | WARN  | Received signal code 100 (server.cpp:62)
2022-04-19 15:47:39.609 | :01000001 | INFO  | [WORKER 1] destroy service [bootstrap] 
2022-04-19 15:47:39.609 | :02000001 | INFO  | [WORKER 2] destroy service [login1] 
2022-04-19 15:47:39.610 | 22376     | INFO  | WORKER-6 STOP
2022-04-19 15:47:39.611 | 11532     | INFO  | WORKER-5 STOP
2022-04-19 15:47:39.611 | 13028     | INFO  | WORKER-4 STOP
2022-04-19 15:47:39.611 | 11916     | INFO  | WORKER-3 STOP
2022-04-19 15:47:39.611 | 10828     | INFO  | WORKER-2 STOP
2022-04-19 15:47:39.611 | 18928     | INFO  | WORKER-1 STOP
2022-04-19 15:47:39.611 | 7084      | INFO  | STOP
