2022-04-15 15:22:08.628 | 17432     | INFO  | INIT with 6 workers.
2022-04-15 15:22:08.628 | 17432     | INFO  | WORKER-1 RUN
2022-04-15 15:22:08.628 | 17432     | INFO  | WORKER-2 RUN
2022-04-15 15:22:08.628 | 21456     | INFO  | WORKER-1 START
2022-04-15 15:22:08.628 | 17432     | INFO  | WORKER-3 RUN
2022-04-15 15:22:08.628 | 20172     | INFO  | WORKER-2 START
2022-04-15 15:22:08.629 | 17432     | INFO  | WORKER-4 RUN
2022-04-15 15:22:08.629 | 8692      | INFO  | WORKER-3 START
2022-04-15 15:22:08.629 | 17432     | INFO  | WORKER-5 RUN
2022-04-15 15:22:08.629 | 12868     | INFO  | WORKER-4 START
2022-04-15 15:22:08.629 | 17432     | INFO  | WORKER-6 RUN
2022-04-15 15:22:08.629 | 20676     | INFO  | WORKER-5 START
2022-04-15 15:22:08.629 | 21456     | INFO  |  new_service 16777217
2022-04-15 15:22:08.629 | 6232      | INFO  | WORKER-6 START
2022-04-15 15:22:08.629 | 17432     | INFO  | server::run() state = 2
2022-04-15 15:22:08.637 | :01000001 | INFO  | start server	(main.lua:13)
2022-04-15 15:22:08.638 | 20172     | INFO  |  new_service 33554433
2022-04-15 15:22:08.638 | :01000001 | INFO  | [WORKER 1] new service [bootstrap]
2022-04-15 15:22:08.644 | :02000001 | INFO  | startup_check	(service_login.lua:149)
2022-04-15 15:22:08.644 | :02000001 | INFO  | [WORKER 2] new service [login1]
2022-04-15 15:22:10.144 | :02000001 | INFO  | startup_check	(service_login.lua:149)
2022-04-15 15:22:10.146 | :02000001 | INFO  | connect	2	127.0.0.1:20620	(service_login.lua:15)
2022-04-15 15:22:10.148 | :02000001 | INFO  | connect	3	127.0.0.1:20621	(service_login.lua:15)
2022-04-15 15:22:10.859 | :02000001 | INFO  | receive msg cmd = 	login	2	8	(service_login.lua:30)
2022-04-15 15:22:20.389 | :02000001 | INFO  | close 	3	127.0.0.1:20621	(service_login.lua:72)
2022-04-15 15:22:20.389 | :02000001 | INFO  | close 	2	127.0.0.1:20620	(service_login.lua:72)
2022-04-15 15:22:22.131 | 17432     | WARN  | Received signal code 100 (server.cpp:62)
2022-04-15 15:22:22.131 | :02000001 | INFO  | [WORKER 2] destroy service [login1] 
2022-04-15 15:22:22.131 | :01000001 | INFO  | [WORKER 1] destroy service [bootstrap] 
2022-04-15 15:22:22.133 | 6232      | INFO  | WORKER-6 STOP
2022-04-15 15:22:22.133 | 20676     | INFO  | WORKER-5 STOP
2022-04-15 15:22:22.133 | 12868     | INFO  | WORKER-4 STOP
2022-04-15 15:22:22.133 | 8692      | INFO  | WORKER-3 STOP
2022-04-15 15:22:22.133 | 20172     | INFO  | WORKER-2 STOP
2022-04-15 15:22:22.133 | 21456     | INFO  | WORKER-1 STOP
2022-04-15 15:22:22.133 | 17432     | INFO  | STOP
