2022-04-19 15:33:41.126 | 16548     | INFO  | INIT with 6 workers.
2022-04-19 15:33:41.126 | 16548     | INFO  | WORKER-1 RUN
2022-04-19 15:33:41.128 | 16548     | INFO  | WORKER-2 RUN
2022-04-19 15:33:41.128 | 4296      | INFO  | WORKER-1 START
2022-04-19 15:33:41.128 | 16548     | INFO  | WORKER-3 RUN
2022-04-19 15:33:41.128 | 11812     | INFO  | WORKER-2 START
2022-04-19 15:33:41.128 | 16548     | INFO  | WORKER-4 RUN
2022-04-19 15:33:41.128 | 12236     | INFO  | WORKER-3 START
2022-04-19 15:33:41.128 | 16548     | INFO  | WORKER-5 RUN
2022-04-19 15:33:41.129 | 22184     | INFO  | WORKER-4 START
2022-04-19 15:33:41.129 | 16548     | INFO  | WORKER-6 RUN
2022-04-19 15:33:41.129 | 3656      | INFO  | WORKER-5 START
2022-04-19 15:33:41.129 | 4296      | INFO  |  new_service 16777217
2022-04-19 15:33:41.129 | 5220      | INFO  | WORKER-6 START
2022-04-19 15:33:41.130 | 16548     | INFO  | server::run() state = 2
2022-04-19 15:33:41.138 | :01000001 | INFO  | start server	(main.lua:13)
2022-04-19 15:33:41.138 | 11812     | INFO  |  new_service 33554433
2022-04-19 15:33:41.138 | :01000001 | INFO  | [WORKER 1] new service [bootstrap]
2022-04-19 15:33:41.147 | :02000001 | INFO  | login_check success!	(service_player.lua:138)
2022-04-19 15:33:41.147 | :02000001 | INFO  | startup_check	(service_player.lua:219)
2022-04-19 15:33:41.147 | :02000001 | INFO  | [WORKER 2] new service [player1]
2022-04-19 15:33:41.147 | :02000001 | INFO  | connect	1	127.0.0.1:20701	(service_player.lua:16)
2022-04-19 15:33:41.147 | 12236     | INFO  |  new_service 50331649
2022-04-19 15:33:41.153 | :03000001 | INFO  | login_check success!	(service_player.lua:138)
2022-04-19 15:33:41.153 | :03000001 | INFO  | startup_check	(service_player.lua:219)
2022-04-19 15:33:41.153 | :03000001 | INFO  | [WORKER 3] new service [player2]
2022-04-19 15:33:41.153 | 22184     | INFO  |  new_service 67108865
2022-04-19 15:33:41.153 | :03000001 | INFO  | connect	3	127.0.0.1:20701	(service_player.lua:16)
